"location","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16"
3943807,1,1,0,1,0,0,0,0,1,2,0,0,0,0,0,1
3943808,1,1,1,1,0,0,0,1,2,1,4,1,0,0,0,1
3943809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3943810,0,2,0,1,0,0,0,1,1,4,0,3,0,0,1,0
3943811,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
3943812,0,1,0,0,0,0,0,0,2,0,1,2,0,2,0,0
3943813,1,1,0,0,1,1,0,0,0,1,2,0,0,0,0,0
3943814,2,2,4,0,0,0,0,0,2,1,4,3,3,0,1,0
3943815,1,1,2,1,1,0,0,0,1,0,0,0,0,0,0,0
3943816,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3943817,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0
3943818,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
3943819,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
3943820,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0
3943821,0,0,0,1,0,0,0,0,0,4,0,0,0,1,0,1
3943822,3,2,1,1,0,0,0,0,1,0,0,1,1,0,0,0
3943823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
3943824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3943825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3943826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3943827,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
3943828,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
3943829,1,2,1,0,0,2,0,0,5,1,3,0,1,1,0,0
3943830,4,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0
3943831,0,1,0,0,0,0,0,0,1,1,0,1,2,0,1,1
3943832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
3943833,0,0,0,0,0,0,0,0,1,0,2,2,0,1,0,0
3943834,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
3943835,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3943836,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1
3943837,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3943838,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0
3943839,0,0,2,0,0,0,0,0,4,2,1,1,0,1,0,0
3943840,0,1,0,2,0,0,0,0,4,2,0,1,0,1,0,0
